1	30307
1	28338
1	28223
1	27782
1	27740
1	24149
1	20274
1	20050
1	16375
1	14533
1	9206
1	1299
2	28132
2	26977
2	25836
2	21726
2	20277
2	19401
2	18830
2	18170
2	17149
2	16948
2	15959
2	15286
2	13807
2	12553
2	11892
2	11324
2	10916
2	10201
2	5830
2	2553
2	1256
2	1129
2	39
3	30429
3	29219
3	28928
3	28844
3	27638
3	25959
3	24486
3	24345
3	24287
3	21616
3	21559
3	20999
3	19297
3	18991
3	18197
3	17933
3	17614
3	16867
3	15082
3	14391
3	13042
3	12351
3	9717
3	8811
3	8412
3	7642
3	7611
3	7235
3	6349
3	6030
3	3869
3	2438
3	1942
3	1712
3	883
3	393
4	28961
4	28928
4	28733
4	28440
4	27638
4	26980
4	19889
4	19233
4	15117
4	9060
4	8412
4	7614
4	5874
4	3854
4	3699
4	1737
5	30441
5	29558
5	29382
5	29175
5	28264
5	24196
5	23640
5	19628
5	17869
5	16296
5	16019
5	13920
5	13317
5	11222
5	10960
5	7619
5	7375
5	6878
5	5389
5	4588
5	4265
5	3985
5	2009
5	1475
5	1137
5	865
6	28488
6	28069
6	27638
6	27282
6	16279
6	13608
6	12781
6	11601
6	8083
6	4104
6	2851
7	29980
7	29410
7	29022
7	29018
7	27856
7	27804
7	27765
7	27674
7	27580
7	25729
7	23938
7	23266
7	22743
7	22558
7	22547
7	22064
7	21783
7	21680
7	20020
7	19482
7	19266
7	18564
7	18043
7	15568
7	13879
7	13748
7	13739
7	13608
7	12781
7	12371
7	9848
7	8858
7	8631
7	8348
7	8181
7	7928
7	5684
7	5333
7	2838
7	2619
7	2592
7	2560
7	2473
7	1530
7	1363
7	1159
7	938
8	20274
8	17003
8	7778
8	5471
8	2312
9	29022
9	28659
9	28642
9	28588
9	28522
9	28132
9	28116
9	27890
9	26526
9	26491
9	25531
9	25322
9	24693
9	24517
9	24264
9	23843
9	23541
9	23144
9	22478
9	22279
9	21912
9	21742
9	21591
9	21533
9	21028
9	20543
9	20291
9	20036
9	19808
9	19420
9	19081
9	18865
9	18012
9	16276
9	16076
9	16054
9	15688
9	15534
9	15265
9	15257
9	15003
9	14433
9	13640
9	13130
9	12112
9	11835
9	11605
9	11222
9	10916
9	10781
9	10040
9	9996
9	9909
9	9060
9	8691
9	8631
9	8618
9	8379
9	8335
9	8171
9	8111
9	8012
9	5318
9	4473
9	4105
9	3066
9	2751
9	1469
9	860
9	721
10	30100
10	29947
10	29904
10	29620
10	29586
10	29189
10	29175
10	29046
10	29000
10	28511
10	28500
10	28344
10	28110
10	28080
10	27848
10	27780
10	27085
10	27036
10	26960
10	26687
10	26512
10	25790
10	25743
10	25660
10	25642
10	25587
10	25493
10	25307
10	25141
10	24872
10	24709
10	24498
10	24293
10	24287
10	24267
10	24196
10	23889
10	23571
10	23555
10	23520
10	23005
10	22987
10	22598
10	21933
10	21891
10	21769
10	21465
10	21427
10	21381
10	21365
10	20912
10	20354
10	20316
10	19829
10	19816
10	19725
10	19676
10	19662
10	19628
10	19625
10	19606
10	19557
10	19190
10	18966
10	18456
10	18380
10	18076
10	17869
10	17536
10	17511
10	17469
10	17269
10	17169
10	17058
10	17018
10	16942
